,image,writing,gender
40,/content/drive/MyDrive/lines folder/p02-090-07.png,1,0
41,/content/drive/MyDrive/lines folder/p02-090-08.png,1,0
42,/content/drive/MyDrive/lines folder/p02-090-02.png,1,0
43,/content/drive/MyDrive/lines folder/p02-090-01.png,1,0
44,/content/drive/MyDrive/lines folder/p02-090-00.png,1,0
45,/content/drive/MyDrive/lines folder/p02-090-05.png,1,0
46,/content/drive/MyDrive/lines folder/p02-090-04.png,1,0
47,/content/drive/MyDrive/lines folder/p02-101-00.png,3,1
48,/content/drive/MyDrive/lines folder/p02-101-05.png,3,1
49,/content/drive/MyDrive/lines folder/p02-101-04.png,3,1
50,/content/drive/MyDrive/lines folder/p02-101-07.png,3,1
51,/content/drive/MyDrive/lines folder/p02-101-03.png,3,1
52,/content/drive/MyDrive/lines folder/p02-101-06.png,3,1
53,/content/drive/MyDrive/lines folder/p02-101-01.png,3,1
54,/content/drive/MyDrive/lines folder/p02-101-02.png,3,1
55,/content/drive/MyDrive/lines folder/p02-105-07.png,2,1
56,/content/drive/MyDrive/lines folder/p02-105-03.png,2,1
57,/content/drive/MyDrive/lines folder/p02-105-04.png,2,1
58,/content/drive/MyDrive/lines folder/p02-105-06.png,2,1
59,/content/drive/MyDrive/lines folder/p02-105-02.png,2,1
60,/content/drive/MyDrive/lines folder/p02-105-05.png,2,1
61,/content/drive/MyDrive/lines folder/p02-105-00.png,2,1
62,/content/drive/MyDrive/lines folder/p02-105-01.png,2,1
63,/content/drive/MyDrive/lines folder/p02-109-01.png,0,0
64,/content/drive/MyDrive/lines folder/p02-109-00.png,0,0
65,/content/drive/MyDrive/lines folder/p02-109-05.png,0,0
66,/content/drive/MyDrive/lines folder/p02-109-06.png,0,0
67,/content/drive/MyDrive/lines folder/p02-109-02.png,0,0
68,/content/drive/MyDrive/lines folder/p02-109-04.png,0,0
69,/content/drive/MyDrive/lines folder/p02-109-03.png,0,0
70,/content/drive/MyDrive/lines folder/p02-109-08.png,0,0
71,/content/drive/MyDrive/lines folder/p02-109-07.png,0,0
72,/content/drive/MyDrive/lines folder/p02-115-01.png,2,1
73,/content/drive/MyDrive/lines folder/p02-115-03.png,2,1
74,/content/drive/MyDrive/lines folder/p02-115-07.png,2,1
75,/content/drive/MyDrive/lines folder/p02-115-08.png,2,1
76,/content/drive/MyDrive/lines folder/p02-115-00.png,2,1
77,/content/drive/MyDrive/lines folder/p02-115-05.png,2,1
78,/content/drive/MyDrive/lines folder/p02-115-04.png,2,1
79,/content/drive/MyDrive/lines folder/p02-115-06.png,2,1
80,/content/drive/MyDrive/lines folder/p02-115-02.png,2,1
81,/content/drive/MyDrive/lines folder/p02-121-03.png,2,1
82,/content/drive/MyDrive/lines folder/p02-121-04.png,2,1
83,/content/drive/MyDrive/lines folder/p02-121-05.png,2,1
84,/content/drive/MyDrive/lines folder/p02-121-00.png,2,1
85,/content/drive/MyDrive/lines folder/p02-121-01.png,2,1
86,/content/drive/MyDrive/lines folder/p02-121-02.png,2,1
87,/content/drive/MyDrive/lines folder/p02-127-01.png,2,1
88,/content/drive/MyDrive/lines folder/p02-127-02.png,2,1
89,/content/drive/MyDrive/lines folder/p02-127-03.png,2,1
90,/content/drive/MyDrive/lines folder/p02-127-04.png,2,1
91,/content/drive/MyDrive/lines folder/p02-127-05.png,2,1
92,/content/drive/MyDrive/lines folder/p02-127-06.png,2,1
93,/content/drive/MyDrive/lines folder/p02-127-00.png,2,1
94,/content/drive/MyDrive/lines folder/p02-131-01.png,2,1
95,/content/drive/MyDrive/lines folder/p02-131-02.png,2,1
96,/content/drive/MyDrive/lines folder/p02-131-03.png,2,1
97,/content/drive/MyDrive/lines folder/p02-131-00.png,2,1
98,/content/drive/MyDrive/lines folder/p02-131-07.png,2,1
99,/content/drive/MyDrive/lines folder/p02-131-05.png,2,1
100,/content/drive/MyDrive/lines folder/p02-131-06.png,2,1
101,/content/drive/MyDrive/lines folder/p02-131-04.png,2,1
102,/content/drive/MyDrive/lines folder/p02-135-00.png,2,1
103,/content/drive/MyDrive/lines folder/p02-135-01.png,2,1
104,/content/drive/MyDrive/lines folder/p02-135-04.png,2,1
105,/content/drive/MyDrive/lines folder/p02-135-05.png,2,1
106,/content/drive/MyDrive/lines folder/p02-135-03.png,2,1
107,/content/drive/MyDrive/lines folder/p02-135-02.png,2,1
108,/content/drive/MyDrive/lines folder/p02-135-06.png,2,1
109,/content/drive/MyDrive/lines folder/p02-135-07.png,2,1
110,/content/drive/MyDrive/lines folder/p02-135-08.png,2,1
111,/content/drive/MyDrive/lines folder/p02-139-03.png,0,0
112,/content/drive/MyDrive/lines folder/p02-139-05.png,0,0
113,/content/drive/MyDrive/lines folder/p02-139-00.png,0,0
114,/content/drive/MyDrive/lines folder/p02-139-01.png,0,0
115,/content/drive/MyDrive/lines folder/p02-139-02.png,0,0
116,/content/drive/MyDrive/lines folder/p02-139-04.png,0,0
117,/content/drive/MyDrive/lines folder/p02-144-01.png,2,1
118,/content/drive/MyDrive/lines folder/p02-144-02.png,2,1
119,/content/drive/MyDrive/lines folder/p02-144-00.png,2,1
120,/content/drive/MyDrive/lines folder/p02-144-04.png,2,1
121,/content/drive/MyDrive/lines folder/p02-144-09.png,2,1
122,/content/drive/MyDrive/lines folder/p02-144-08.png,2,1
123,/content/drive/MyDrive/lines folder/p02-144-07.png,2,1
124,/content/drive/MyDrive/lines folder/p02-144-11.png,2,1
125,/content/drive/MyDrive/lines folder/p02-144-06.png,2,1
126,/content/drive/MyDrive/lines folder/p02-144-03.png,2,1
127,/content/drive/MyDrive/lines folder/p02-144-05.png,2,1
128,/content/drive/MyDrive/lines folder/p02-144-10.png,2,1
129,/content/drive/MyDrive/lines folder/p02-150-01.png,0,0
130,/content/drive/MyDrive/lines folder/p02-150-02.png,0,0
131,/content/drive/MyDrive/lines folder/p02-150-03.png,0,0
132,/content/drive/MyDrive/lines folder/p02-150-04.png,0,0
133,/content/drive/MyDrive/lines folder/p02-150-08.png,0,0
134,/content/drive/MyDrive/lines folder/p02-150-07.png,0,0
135,/content/drive/MyDrive/lines folder/p02-150-00.png,0,0
136,/content/drive/MyDrive/lines folder/p02-150-06.png,0,0
137,/content/drive/MyDrive/lines folder/p02-150-05.png,0,0
138,/content/drive/MyDrive/lines folder/p02-155-00.png,1,0
139,/content/drive/MyDrive/lines folder/p02-155-01.png,1,0
140,/content/drive/MyDrive/lines folder/p03-004-10.png,0,0
141,/content/drive/MyDrive/lines folder/p03-004-00.png,0,0
142,/content/drive/MyDrive/lines folder/p03-004-06.png,0,0
143,/content/drive/MyDrive/lines folder/p03-004-03.png,0,0
144,/content/drive/MyDrive/lines folder/p03-004-11.png,0,0
145,/content/drive/MyDrive/lines folder/p03-004-02.png,0,0
146,/content/drive/MyDrive/lines folder/p03-004-01.png,0,0
147,/content/drive/MyDrive/lines folder/p03-004-05.png,0,0
148,/content/drive/MyDrive/lines folder/p03-004-07.png,0,0
149,/content/drive/MyDrive/lines folder/p03-004-04.png,0,0
150,/content/drive/MyDrive/lines folder/p03-004-08.png,0,0
151,/content/drive/MyDrive/lines folder/p03-004-09.png,0,0
152,/content/drive/MyDrive/lines folder/p03-009-00.png,1,0
153,/content/drive/MyDrive/lines folder/p03-009-05.png,1,0
154,/content/drive/MyDrive/lines folder/p03-009-02.png,1,0
155,/content/drive/MyDrive/lines folder/p03-009-04.png,1,0
156,/content/drive/MyDrive/lines folder/p03-009-06.png,1,0
157,/content/drive/MyDrive/lines folder/p03-009-01.png,1,0
158,/content/drive/MyDrive/lines folder/p03-009-03.png,1,0
159,/content/drive/MyDrive/lines folder/p03-012-01.png,1,0
160,/content/drive/MyDrive/lines folder/p03-012-00.png,1,0
161,/content/drive/MyDrive/lines folder/p03-012-07.png,1,0
162,/content/drive/MyDrive/lines folder/p03-012-08.png,1,0
163,/content/drive/MyDrive/lines folder/p03-012-09.png,1,0
164,/content/drive/MyDrive/lines folder/p03-012-02.png,1,0
165,/content/drive/MyDrive/lines folder/p03-012-04.png,1,0
166,/content/drive/MyDrive/lines folder/p03-012-03.png,1,0
167,/content/drive/MyDrive/lines folder/p03-012-05.png,1,0
168,/content/drive/MyDrive/lines folder/p03-012-06.png,1,0
169,/content/drive/MyDrive/lines folder/p03-023-01.png,2,1
170,/content/drive/MyDrive/lines folder/p03-023-00.png,2,1
171,/content/drive/MyDrive/lines folder/p03-023-02.png,2,1
172,/content/drive/MyDrive/lines folder/p03-023-04.png,2,1
173,/content/drive/MyDrive/lines folder/p03-023-05.png,2,1
174,/content/drive/MyDrive/lines folder/p03-023-03.png,2,1
175,/content/drive/MyDrive/lines folder/p03-027-03.png,2,1
176,/content/drive/MyDrive/lines folder/p03-027-02.png,2,1
177,/content/drive/MyDrive/lines folder/p03-027-07.png,2,1
178,/content/drive/MyDrive/lines folder/p03-027-00.png,2,1
179,/content/drive/MyDrive/lines folder/p03-027-04.png,2,1
180,/content/drive/MyDrive/lines folder/p03-027-01.png,2,1
181,/content/drive/MyDrive/lines folder/p03-027-06.png,2,1
182,/content/drive/MyDrive/lines folder/p03-027-05.png,2,1
183,/content/drive/MyDrive/lines folder/p03-029-02.png,2,1
184,/content/drive/MyDrive/lines folder/p03-029-07.png,2,1
185,/content/drive/MyDrive/lines folder/p03-029-06.png,2,1
186,/content/drive/MyDrive/lines folder/p03-029-09.png,2,1
187,/content/drive/MyDrive/lines folder/p03-029-00.png,2,1
188,/content/drive/MyDrive/lines folder/p03-029-05.png,2,1
189,/content/drive/MyDrive/lines folder/p03-029-03.png,2,1
190,/content/drive/MyDrive/lines folder/p03-029-01.png,2,1
191,/content/drive/MyDrive/lines folder/p03-029-04.png,2,1
192,/content/drive/MyDrive/lines folder/p03-029-08.png,2,1
193,/content/drive/MyDrive/lines folder/p03-033-03.png,1,0
194,/content/drive/MyDrive/lines folder/p03-033-05.png,1,0
195,/content/drive/MyDrive/lines folder/p03-033-04.png,1,0
196,/content/drive/MyDrive/lines folder/p03-033-00.png,1,0
197,/content/drive/MyDrive/lines folder/p03-033-02.png,1,0
198,/content/drive/MyDrive/lines folder/p03-033-01.png,1,0
199,/content/drive/MyDrive/lines folder/p03-040-01.png,1,0
200,/content/drive/MyDrive/lines folder/p03-040-02.png,1,0
201,/content/drive/MyDrive/lines folder/p03-040-00.png,1,0
202,/content/drive/MyDrive/lines folder/p03-040-07.png,1,0
203,/content/drive/MyDrive/lines folder/p03-040-05.png,1,0
204,/content/drive/MyDrive/lines folder/p03-040-08.png,1,0
205,/content/drive/MyDrive/lines folder/p03-040-06.png,1,0
206,/content/drive/MyDrive/lines folder/p03-040-03.png,1,0
207,/content/drive/MyDrive/lines folder/p03-040-04.png,1,0
208,/content/drive/MyDrive/lines folder/p03-047-07.png,0,0
209,/content/drive/MyDrive/lines folder/p03-047-08.png,0,0
210,/content/drive/MyDrive/lines folder/p03-047-09.png,0,0
211,/content/drive/MyDrive/lines folder/p03-047-04.png,0,0
212,/content/drive/MyDrive/lines folder/p03-047-00.png,0,0
213,/content/drive/MyDrive/lines folder/p03-047-06.png,0,0
214,/content/drive/MyDrive/lines folder/p03-047-01.png,0,0
215,/content/drive/MyDrive/lines folder/p03-047-03.png,0,0
216,/content/drive/MyDrive/lines folder/p03-047-05.png,0,0
217,/content/drive/MyDrive/lines folder/p03-047-02.png,0,0
218,/content/drive/MyDrive/lines folder/p03-057-05.png,0,0
219,/content/drive/MyDrive/lines folder/p03-057-06.png,0,0
220,/content/drive/MyDrive/lines folder/p03-057-07.png,0,0
221,/content/drive/MyDrive/lines folder/p03-057-08.png,0,0
222,/content/drive/MyDrive/lines folder/p03-057-09.png,0,0
223,/content/drive/MyDrive/lines folder/p03-057-04.png,0,0
224,/content/drive/MyDrive/lines folder/p03-057-02.png,0,0
225,/content/drive/MyDrive/lines folder/p03-057-01.png,0,0
226,/content/drive/MyDrive/lines folder/p03-057-00.png,0,0
227,/content/drive/MyDrive/lines folder/p03-057-03.png,0,0
228,/content/drive/MyDrive/lines folder/p03-069-01.png,2,1
229,/content/drive/MyDrive/lines folder/p03-069-04.png,2,1
230,/content/drive/MyDrive/lines folder/p03-069-02.png,2,1
231,/content/drive/MyDrive/lines folder/p03-069-05.png,2,1
232,/content/drive/MyDrive/lines folder/p03-069-00.png,2,1
233,/content/drive/MyDrive/lines folder/p03-069-03.png,2,1
234,/content/drive/MyDrive/lines folder/p03-069-06.png,2,1
235,/content/drive/MyDrive/lines folder/p03-072-01.png,2,1
236,/content/drive/MyDrive/lines folder/p03-072-02.png,2,1
237,/content/drive/MyDrive/lines folder/p03-072-03.png,2,1
238,/content/drive/MyDrive/lines folder/p03-072-04.png,2,1
239,/content/drive/MyDrive/lines folder/p03-072-07.png,2,1
240,/content/drive/MyDrive/lines folder/p03-072-00.png,2,1
241,/content/drive/MyDrive/lines folder/p03-072-06.png,2,1
242,/content/drive/MyDrive/lines folder/p03-072-05.png,2,1
243,/content/drive/MyDrive/lines folder/p03-080-01.png,0,0
244,/content/drive/MyDrive/lines folder/p03-080-03.png,0,0
245,/content/drive/MyDrive/lines folder/p03-080-02.png,0,0
246,/content/drive/MyDrive/lines folder/p03-080-05.png,0,0
247,/content/drive/MyDrive/lines folder/p03-080-06.png,0,0
248,/content/drive/MyDrive/lines folder/p03-080-00.png,0,0
249,/content/drive/MyDrive/lines folder/p03-080-04.png,0,0
250,/content/drive/MyDrive/lines folder/p03-087-02.png,0,0
251,/content/drive/MyDrive/lines folder/p03-087-03.png,0,0
252,/content/drive/MyDrive/lines folder/p03-087-04.png,0,0
253,/content/drive/MyDrive/lines folder/p03-087-01.png,0,0
254,/content/drive/MyDrive/lines folder/p03-087-00.png,0,0
255,/content/drive/MyDrive/lines folder/p03-087-09.png,0,0
256,/content/drive/MyDrive/lines folder/p03-087-07.png,0,0
257,/content/drive/MyDrive/lines folder/p03-087-10.png,0,0
258,/content/drive/MyDrive/lines folder/p03-087-08.png,0,0
259,/content/drive/MyDrive/lines folder/p03-087-05.png,0,0
260,/content/drive/MyDrive/lines folder/p03-087-06.png,0,0
261,/content/drive/MyDrive/lines folder/p03-096-01.png,0,0
262,/content/drive/MyDrive/lines folder/p03-096-02.png,0,0
263,/content/drive/MyDrive/lines folder/p03-096-03.png,0,0
264,/content/drive/MyDrive/lines folder/p03-096-04.png,0,0
265,/content/drive/MyDrive/lines folder/p03-096-05.png,0,0
266,/content/drive/MyDrive/lines folder/p03-096-00.png,0,0
267,/content/drive/MyDrive/lines folder/p03-096-06.png,0,0
268,/content/drive/MyDrive/lines folder/p03-096-07.png,0,0
269,/content/drive/MyDrive/lines folder/p03-096-09.png,0,0
270,/content/drive/MyDrive/lines folder/p03-096-08.png,0,0
271,/content/drive/MyDrive/lines folder/p03-103-01.png,0,0
272,/content/drive/MyDrive/lines folder/p03-103-00.png,0,0
273,/content/drive/MyDrive/lines folder/p03-103-02.png,0,0
274,/content/drive/MyDrive/lines folder/p03-103-04.png,0,0
275,/content/drive/MyDrive/lines folder/p03-103-05.png,0,0
276,/content/drive/MyDrive/lines folder/p03-103-06.png,0,0
277,/content/drive/MyDrive/lines folder/p03-103-03.png,0,0
278,/content/drive/MyDrive/lines folder/p03-103-07.png,0,0
279,/content/drive/MyDrive/lines folder/p03-112-01.png,0,0
280,/content/drive/MyDrive/lines folder/p03-112-02.png,0,0
281,/content/drive/MyDrive/lines folder/p03-112-03.png,0,0
282,/content/drive/MyDrive/lines folder/p03-112-00.png,0,0
283,/content/drive/MyDrive/lines folder/p03-112-09.png,0,0
284,/content/drive/MyDrive/lines folder/p03-112-07.png,0,0
285,/content/drive/MyDrive/lines folder/p03-112-06.png,0,0
286,/content/drive/MyDrive/lines folder/p03-112-04.png,0,0
287,/content/drive/MyDrive/lines folder/p03-112-05.png,0,0
288,/content/drive/MyDrive/lines folder/p03-112-08.png,0,0
289,/content/drive/MyDrive/lines folder/p03-121-01.png,3,1
290,/content/drive/MyDrive/lines folder/p03-121-02.png,3,1
291,/content/drive/MyDrive/lines folder/p03-121-03.png,3,1
292,/content/drive/MyDrive/lines folder/p03-121-04.png,3,1
293,/content/drive/MyDrive/lines folder/p03-121-05.png,3,1
294,/content/drive/MyDrive/lines folder/p03-121-06.png,3,1
295,/content/drive/MyDrive/lines folder/p03-121-00.png,3,1
296,/content/drive/MyDrive/lines folder/p03-135-00.png,2,1
297,/content/drive/MyDrive/lines folder/p03-135-05.png,2,1
298,/content/drive/MyDrive/lines folder/p03-135-04.png,2,1
299,/content/drive/MyDrive/lines folder/p03-135-03.png,2,1
300,/content/drive/MyDrive/lines folder/p03-135-02.png,2,1
301,/content/drive/MyDrive/lines folder/p03-135-06.png,2,1
302,/content/drive/MyDrive/lines folder/p03-135-01.png,2,1
303,/content/drive/MyDrive/lines folder/p03-142-01.png,2,1
304,/content/drive/MyDrive/lines folder/p03-142-02.png,2,1
305,/content/drive/MyDrive/lines folder/p03-142-03.png,2,1
306,/content/drive/MyDrive/lines folder/p03-142-04.png,2,1
307,/content/drive/MyDrive/lines folder/p03-142-05.png,2,1
308,/content/drive/MyDrive/lines folder/p03-142-06.png,2,1
309,/content/drive/MyDrive/lines folder/p03-142-00.png,2,1
310,/content/drive/MyDrive/lines folder/p03-151-03.png,0,0
311,/content/drive/MyDrive/lines folder/p03-151-00.png,0,0
312,/content/drive/MyDrive/lines folder/p03-151-05.png,0,0
313,/content/drive/MyDrive/lines folder/p03-151-01.png,0,0
314,/content/drive/MyDrive/lines folder/p03-151-07.png,0,0
315,/content/drive/MyDrive/lines folder/p03-151-04.png,0,0
316,/content/drive/MyDrive/lines folder/p03-151-02.png,0,0
317,/content/drive/MyDrive/lines folder/p03-151-06.png,0,0
318,/content/drive/MyDrive/lines folder/p03-158-01.png,2,1
319,/content/drive/MyDrive/lines folder/p03-158-00.png,2,1
320,/content/drive/MyDrive/lines folder/p03-158-02.png,2,1
321,/content/drive/MyDrive/lines folder/p03-158-05.png,2,1
322,/content/drive/MyDrive/lines folder/p03-158-06.png,2,1
323,/content/drive/MyDrive/lines folder/p03-158-04.png,2,1
324,/content/drive/MyDrive/lines folder/p03-158-03.png,2,1
325,/content/drive/MyDrive/lines folder/p03-158-07.png,2,1
326,/content/drive/MyDrive/lines folder/p03-163-00.png,0,0
327,/content/drive/MyDrive/lines folder/p03-163-01.png,0,0
328,/content/drive/MyDrive/lines folder/p03-163-02.png,0,0
329,/content/drive/MyDrive/lines folder/p03-163-05.png,0,0
330,/content/drive/MyDrive/lines folder/p03-163-06.png,0,0
331,/content/drive/MyDrive/lines folder/p03-163-07.png,0,0
332,/content/drive/MyDrive/lines folder/p03-163-04.png,0,0
333,/content/drive/MyDrive/lines folder/p03-163-03.png,0,0
334,/content/drive/MyDrive/lines folder/p03-173-01.png,0,0
335,/content/drive/MyDrive/lines folder/p03-173-02.png,0,0
336,/content/drive/MyDrive/lines folder/p03-173-03.png,0,0
337,/content/drive/MyDrive/lines folder/p03-173-00.png,0,0
338,/content/drive/MyDrive/lines folder/p03-173-04.png,0,0
339,/content/drive/MyDrive/lines folder/p03-173-05.png,0,0
340,/content/drive/MyDrive/lines folder/p03-173-06.png,0,0
341,/content/drive/MyDrive/lines folder/p03-173-07.png,0,0
342,/content/drive/MyDrive/lines folder/p03-173-08.png,0,0
343,/content/drive/MyDrive/lines folder/p03-181-01.png,1,0
344,/content/drive/MyDrive/lines folder/p03-181-00.png,1,0
345,/content/drive/MyDrive/lines folder/p03-181-05.png,1,0
346,/content/drive/MyDrive/lines folder/p03-181-06.png,1,0
347,/content/drive/MyDrive/lines folder/p03-181-09.png,1,0
348,/content/drive/MyDrive/lines folder/p03-181-03.png,1,0
349,/content/drive/MyDrive/lines folder/p03-181-04.png,1,0
350,/content/drive/MyDrive/lines folder/p03-181-07.png,1,0
351,/content/drive/MyDrive/lines folder/p03-181-08.png,1,0
352,/content/drive/MyDrive/lines folder/p03-181-02.png,1,0
353,/content/drive/MyDrive/lines folder/p03-185-01.png,2,1
354,/content/drive/MyDrive/lines folder/p03-185-02.png,2,1
355,/content/drive/MyDrive/lines folder/p03-185-03.png,2,1
356,/content/drive/MyDrive/lines folder/p03-185-04.png,2,1
357,/content/drive/MyDrive/lines folder/p03-185-00.png,2,1
358,/content/drive/MyDrive/lines folder/p03-185-08.png,2,1
359,/content/drive/MyDrive/lines folder/p03-185-07.png,2,1
360,/content/drive/MyDrive/lines folder/p03-185-05.png,2,1
361,/content/drive/MyDrive/lines folder/p03-185-06.png,2,1
362,/content/drive/MyDrive/lines folder/p03-189-01.png,2,1
363,/content/drive/MyDrive/lines folder/p03-189-02.png,2,1
364,/content/drive/MyDrive/lines folder/p03-189-00.png,2,1
365,/content/drive/MyDrive/lines folder/p03-189-03.png,2,1
366,/content/drive/MyDrive/lines folder/p03-189-04.png,2,1
367,/content/drive/MyDrive/lines folder/p06-030-00.png,0,0
368,/content/drive/MyDrive/lines folder/p06-030-01.png,0,0
369,/content/drive/MyDrive/lines folder/p06-030-06.png,0,0
370,/content/drive/MyDrive/lines folder/p06-030-03.png,0,0
371,/content/drive/MyDrive/lines folder/p06-030-02.png,0,0
372,/content/drive/MyDrive/lines folder/p06-030-08.png,0,0
373,/content/drive/MyDrive/lines folder/p06-030-05.png,0,0
374,/content/drive/MyDrive/lines folder/p06-030-04.png,0,0
375,/content/drive/MyDrive/lines folder/p06-030-07.png,0,0
376,/content/drive/MyDrive/lines folder/p06-042-01.png,0,0
377,/content/drive/MyDrive/lines folder/p06-042-06.png,0,0
378,/content/drive/MyDrive/lines folder/p06-042-02.png,0,0
379,/content/drive/MyDrive/lines folder/p06-042-08.png,0,0
380,/content/drive/MyDrive/lines folder/p06-042-05.png,0,0
381,/content/drive/MyDrive/lines folder/p06-042-07.png,0,0
382,/content/drive/MyDrive/lines folder/p06-042-09.png,0,0
383,/content/drive/MyDrive/lines folder/p06-042-04.png,0,0
384,/content/drive/MyDrive/lines folder/p06-042-00.png,0,0
385,/content/drive/MyDrive/lines folder/p06-042-03.png,0,0
386,/content/drive/MyDrive/lines folder/p06-042-10.png,0,0
387,/content/drive/MyDrive/lines folder/p06-047-03.png,0,0
388,/content/drive/MyDrive/lines folder/p06-047-04.png,0,0
389,/content/drive/MyDrive/lines folder/p06-047-01.png,0,0
390,/content/drive/MyDrive/lines folder/p06-047-02.png,0,0
391,/content/drive/MyDrive/lines folder/p06-047-00.png,0,0
392,/content/drive/MyDrive/lines folder/p06-047-06.png,0,0
393,/content/drive/MyDrive/lines folder/p06-047-07.png,0,0
394,/content/drive/MyDrive/lines folder/p06-047-08.png,0,0
395,/content/drive/MyDrive/lines folder/p06-047-09.png,0,0
396,/content/drive/MyDrive/lines folder/p06-047-10.png,0,0
397,/content/drive/MyDrive/lines folder/p06-047-05.png,0,0
398,/content/drive/MyDrive/lines folder/p06-052-08.png,0,0
399,/content/drive/MyDrive/lines folder/p06-052-01.png,0,0
400,/content/drive/MyDrive/lines folder/p06-052-04.png,0,0
401,/content/drive/MyDrive/lines folder/p06-052-00.png,0,0
402,/content/drive/MyDrive/lines folder/p06-052-06.png,0,0
403,/content/drive/MyDrive/lines folder/p06-052-02.png,0,0
404,/content/drive/MyDrive/lines folder/p06-052-05.png,0,0
405,/content/drive/MyDrive/lines folder/p06-052-07.png,0,0
406,/content/drive/MyDrive/lines folder/p06-052-03.png,0,0
407,/content/drive/MyDrive/lines folder/p06-058-03.png,0,0
408,/content/drive/MyDrive/lines folder/p06-058-02.png,0,0
409,/content/drive/MyDrive/lines folder/p06-058-00.png,0,0
410,/content/drive/MyDrive/lines folder/p06-058-01.png,0,0
411,/content/drive/MyDrive/lines folder/p06-058-08.png,0,0
412,/content/drive/MyDrive/lines folder/p06-058-05.png,0,0
413,/content/drive/MyDrive/lines folder/p06-058-06.png,0,0
414,/content/drive/MyDrive/lines folder/p06-058-04.png,0,0
415,/content/drive/MyDrive/lines folder/p06-058-07.png,0,0
416,/content/drive/MyDrive/lines folder/p06-058-10.png,0,0
417,/content/drive/MyDrive/lines folder/p06-058-09.png,0,0
418,/content/drive/MyDrive/lines folder/p06-069-01.png,0,0
419,/content/drive/MyDrive/lines folder/p06-069-03.png,0,0
420,/content/drive/MyDrive/lines folder/p06-069-00.png,0,0
421,/content/drive/MyDrive/lines folder/p06-069-04.png,0,0
422,/content/drive/MyDrive/lines folder/p06-069-06.png,0,0
423,/content/drive/MyDrive/lines folder/p06-069-02.png,0,0
424,/content/drive/MyDrive/lines folder/p06-069-05.png,0,0
425,/content/drive/MyDrive/lines folder/p06-069-07.png,0,0
426,/content/drive/MyDrive/lines folder/p06-069-08.png,0,0
427,/content/drive/MyDrive/lines folder/p06-069-10.png,0,0
428,/content/drive/MyDrive/lines folder/p06-069-09.png,0,0
429,/content/drive/MyDrive/lines folder/p06-088-01.png,0,0
430,/content/drive/MyDrive/lines folder/p06-088-00.png,0,0
431,/content/drive/MyDrive/lines folder/p06-088-02.png,0,0
432,/content/drive/MyDrive/lines folder/p06-088-06.png,0,0
433,/content/drive/MyDrive/lines folder/p06-088-03.png,0,0
434,/content/drive/MyDrive/lines folder/p06-088-08.png,0,0
435,/content/drive/MyDrive/lines folder/p06-088-07.png,0,0
